food_slug,fdc_id,fdc_dataset,fdc_description,nutrient,amount_per_100g,unit,fdc_nutrient_nbr,derivation
almonds-raw,170567,sr_legacy,"Nuts, almonds",calcium,269.0,mg,301,
almonds-raw,170567,sr_legacy,"Nuts, almonds",calories,579.0,kcal,208;957;958,"Energy: measured 208 preferred, else Atwater General 957, else Atwater Specific 958"
almonds-raw,170567,sr_legacy,"Nuts, almonds",carbohydrate,21.55,g,205,
almonds-raw,170567,sr_legacy,"Nuts, almonds",copper,1031.0,ug,312,FDC mg -> module ug (x1000)
almonds-raw,170567,sr_legacy,"Nuts, almonds",healthy-fat,49.93,g,204,FDC total lipid (fat); module names it healthy-fat
almonds-raw,170567,sr_legacy,"Nuts, almonds",iron,3.71,mg,303,
almonds-raw,170567,sr_legacy,"Nuts, almonds",magnesium,270.0,mg,304,
almonds-raw,170567,sr_legacy,"Nuts, almonds",manganese,2.179,mg,315,
almonds-raw,170567,sr_legacy,"Nuts, almonds",omega-3,0.003,g,851+629+621+631,derived: ALA+EPA+DHA+DPA sum
almonds-raw,170567,sr_legacy,"Nuts, almonds",potassium,733.0,mg,306,
almonds-raw,170567,sr_legacy,"Nuts, almonds",protein,21.15,g,203,
almonds-raw,170567,sr_legacy,"Nuts, almonds",selenium,4.1,ug,317,
almonds-raw,170567,sr_legacy,"Nuts, almonds",sodium,1.0,mg,307,
almonds-raw,170567,sr_legacy,"Nuts, almonds",sugars-total,4.35,g,269,
almonds-raw,170567,sr_legacy,"Nuts, almonds",vitamin-a,0.0,ug,320,RAE
almonds-raw,170567,sr_legacy,"Nuts, almonds",vitamin-b1,0.205,mg,404,
almonds-raw,170567,sr_legacy,"Nuts, almonds",vitamin-b12,0.0,ug,418,
almonds-raw,170567,sr_legacy,"Nuts, almonds",vitamin-b2,1.138,mg,405,
almonds-raw,170567,sr_legacy,"Nuts, almonds",vitamin-b3,3.618,mg,406,
almonds-raw,170567,sr_legacy,"Nuts, almonds",vitamin-b5,0.471,mg,410,
almonds-raw,170567,sr_legacy,"Nuts, almonds",vitamin-b6,0.137,mg,415,
almonds-raw,170567,sr_legacy,"Nuts, almonds",vitamin-b9,44.0,ug,435;417,"Folate DFE preferred, else folate total"
almonds-raw,170567,sr_legacy,"Nuts, almonds",vitamin-c,0.0,mg,401,
almonds-raw,170567,sr_legacy,"Nuts, almonds",vitamin-d,0.0,ug,328,D2+D3
almonds-raw,170567,sr_legacy,"Nuts, almonds",vitamin-e,25.63,mg,323,alpha-tocopherol
almonds-raw,170567,sr_legacy,"Nuts, almonds",vitamin-k,0.0,ug,430,phylloquinone
almonds-raw,170567,sr_legacy,"Nuts, almonds",zinc,3.12,mg,309,
apple-raw,1105430,foundation,"Apples, red delicious, with skin, raw",calcium,5.0,mg,301,
apple-raw,1105430,foundation,"Apples, red delicious, with skin, raw",calories,62.0,kcal,208;957;958,"Energy: measured 208 preferred, else Atwater General 957, else Atwater Specific 958"
apple-raw,1105430,foundation,"Apples, red delicious, with skin, raw",carbohydrate,14.8,g,205,
apple-raw,1105430,foundation,"Apples, red delicious, with skin, raw",copper,24.0,ug,312,FDC mg -> module ug (x1000)
apple-raw,1105430,foundation,"Apples, red delicious, with skin, raw",healthy-fat,0.21,g,204,FDC total lipid (fat); module names it healthy-fat
apple-raw,1105430,foundation,"Apples, red delicious, with skin, raw",iron,0.0,mg,303,
apple-raw,1105430,foundation,"Apples, red delicious, with skin, raw",magnesium,4.7,mg,304,
apple-raw,1105430,foundation,"Apples, red delicious, with skin, raw",manganese,0.03,mg,315,
apple-raw,1105430,foundation,"Apples, red delicious, with skin, raw",potassium,95.0,mg,306,
apple-raw,1105430,foundation,"Apples, red delicious, with skin, raw",protein,0.19,g,203,
apple-raw,1105430,foundation,"Apples, red delicious, with skin, raw",sodium,0.0,mg,307,
apple-raw,1105430,foundation,"Apples, red delicious, with skin, raw",sugars-total,11.1,g,269.3,"FDC 'Sugars, Total' nbr 269.3 (id 1063) — the Foundation entry's total-sugars row; nbr 269 absent for this entry"
apple-raw,1105430,foundation,"Apples, red delicious, with skin, raw",vitamin-b1,0.009,mg,404,
apple-raw,1105430,foundation,"Apples, red delicious, with skin, raw",vitamin-b2,0.066,mg,405,
apple-raw,1105430,foundation,"Apples, red delicious, with skin, raw",vitamin-b3,0.09,mg,406,
apple-raw,1105430,foundation,"Apples, red delicious, with skin, raw",vitamin-b6,0.021,mg,415,
apple-raw,1105430,foundation,"Apples, red delicious, with skin, raw",vitamin-b9,0.0,ug,435;417,"Folate DFE preferred, else folate total"
apple-raw,1105430,foundation,"Apples, red delicious, with skin, raw",zinc,0.02,mg,309,
avocado-raw,2710824,foundation,"Avocado, Hass, peeled, raw",calcium,14.46,mg,301,
avocado-raw,2710824,foundation,"Avocado, Hass, peeled, raw",calories,223.334,kcal,208;957;958,"Energy: measured 208 preferred, else Atwater General 957, else Atwater Specific 958"
avocado-raw,2710824,foundation,"Avocado, Hass, peeled, raw",carbohydrate,8.3235,g,205,
avocado-raw,2710824,foundation,"Avocado, Hass, peeled, raw",copper,284.9,ug,312,FDC mg -> module ug (x1000)
avocado-raw,2710824,foundation,"Avocado, Hass, peeled, raw",healthy-fat,20.31,g,204,FDC total lipid (fat); module names it healthy-fat
avocado-raw,2710824,foundation,"Avocado, Hass, peeled, raw",iron,0.6133,mg,303,
avocado-raw,2710824,foundation,"Avocado, Hass, peeled, raw",magnesium,32.8,mg,304,
avocado-raw,2710824,foundation,"Avocado, Hass, peeled, raw",manganese,0.1966,mg,315,
avocado-raw,2710824,foundation,"Avocado, Hass, peeled, raw",potassium,576.4,mg,306,
avocado-raw,2710824,foundation,"Avocado, Hass, peeled, raw",protein,1.8125,g,203,
avocado-raw,2710824,foundation,"Avocado, Hass, peeled, raw",sodium,0.0,mg,307,
avocado-raw,2710824,foundation,"Avocado, Hass, peeled, raw",vitamin-b6,0.1674,mg,415,
avocado-raw,2710824,foundation,"Avocado, Hass, peeled, raw",vitamin-b9,128.7,ug,435;417,"Folate DFE preferred, else folate total"
avocado-raw,2710824,foundation,"Avocado, Hass, peeled, raw",vitamin-c,0.0,mg,401,
avocado-raw,2710824,foundation,"Avocado, Hass, peeled, raw",zinc,0.4596,mg,309,
banana-raw,790991,foundation,"Bananas, ripe and slightly ripe, raw",calcium,5.0,mg,301,
banana-raw,790991,foundation,"Bananas, ripe and slightly ripe, raw",calories,97.0,kcal,208;957;958,"Energy: measured 208 preferred, else Atwater General 957, else Atwater Specific 958"
banana-raw,790991,foundation,"Bananas, ripe and slightly ripe, raw",carbohydrate,23.0,g,205,
banana-raw,790991,foundation,"Bananas, ripe and slightly ripe, raw",copper,101.0,ug,312,FDC mg -> module ug (x1000)
banana-raw,790991,foundation,"Bananas, ripe and slightly ripe, raw",healthy-fat,0.29,g,204,FDC total lipid (fat); module names it healthy-fat
banana-raw,790991,foundation,"Bananas, ripe and slightly ripe, raw",iodine,0.0,ug,314,
banana-raw,790991,foundation,"Bananas, ripe and slightly ripe, raw",iron,0.0,mg,303,
banana-raw,790991,foundation,"Bananas, ripe and slightly ripe, raw",magnesium,28.0,mg,304,
banana-raw,790991,foundation,"Bananas, ripe and slightly ripe, raw",manganese,0.258,mg,315,
banana-raw,790991,foundation,"Bananas, ripe and slightly ripe, raw",potassium,326.0,mg,306,
banana-raw,790991,foundation,"Bananas, ripe and slightly ripe, raw",protein,0.74,g,203,
banana-raw,790991,foundation,"Bananas, ripe and slightly ripe, raw",selenium,0.0,ug,317,
banana-raw,790991,foundation,"Bananas, ripe and slightly ripe, raw",sodium,0.0,mg,307,
banana-raw,790991,foundation,"Bananas, ripe and slightly ripe, raw",vitamin-a,1.0,ug,320,RAE
banana-raw,790991,foundation,"Bananas, ripe and slightly ripe, raw",vitamin-b1,0.056,mg,404,
banana-raw,790991,foundation,"Bananas, ripe and slightly ripe, raw",vitamin-b2,0.0,mg,405,
banana-raw,790991,foundation,"Bananas, ripe and slightly ripe, raw",vitamin-b3,0.662,mg,406,
banana-raw,790991,foundation,"Bananas, ripe and slightly ripe, raw",vitamin-b6,0.209,mg,415,
banana-raw,790991,foundation,"Bananas, ripe and slightly ripe, raw",vitamin-b7,0.0,ug,416,
banana-raw,790991,foundation,"Bananas, ripe and slightly ripe, raw",vitamin-b9,14.0,ug,435;417,"Folate DFE preferred, else folate total"
banana-raw,790991,foundation,"Bananas, ripe and slightly ripe, raw",vitamin-c,12.3,mg,401,
banana-raw,790991,foundation,"Bananas, ripe and slightly ripe, raw",vitamin-k,0.1,ug,430,phylloquinone
banana-raw,790991,foundation,"Bananas, ripe and slightly ripe, raw",zinc,0.16,mg,309,
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",calcium,16.0,mg,301,
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",calories,132.0,kcal,208;957;958,"Energy: measured 208 preferred, else Atwater General 957, else Atwater Specific 958"
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",carbohydrate,0.0,g,205,
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",copper,93.0,ug,312,FDC mg -> module ug (x1000)
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",healthy-fat,4.19,g,204,FDC total lipid (fat); module names it healthy-fat
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",iron,1.93,mg,303,
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",magnesium,23.0,mg,304,
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",manganese,0.014,mg,315,
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",omega-3,0.0,g,851+629+621+631,derived: ALA+EPA+DHA+DPA sum
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",potassium,337.0,mg,306,
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",protein,22.11,g,203,
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",selenium,25.2,ug,317,
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",sodium,74.0,mg,307,
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",sugars-total,0.0,g,269,
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",vitamin-a,0.0,ug,320,RAE
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",vitamin-b1,0.081,mg,404,
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",vitamin-b12,1.88,ug,418,
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",vitamin-b2,0.16,mg,405,
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",vitamin-b3,5.069,mg,406,
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",vitamin-b5,0.654,mg,410,
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",vitamin-b6,0.532,mg,415,
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",vitamin-b9,13.0,ug,435;417,"Folate DFE preferred, else folate total"
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",vitamin-c,0.0,mg,401,
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",vitamin-e,0.28,mg,323,alpha-tocopherol
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",vitamin-k,1.1,ug,430,phylloquinone
beef-chuck-raw,174051,sr_legacy,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",zinc,5.55,mg,309,
bell-pepper-red-raw,2258590,foundation,"Peppers, bell, red, raw",calcium,6.361,mg,301,
bell-pepper-red-raw,2258590,foundation,"Peppers, bell, red, raw",calories,31.3256,kcal,208;957;958,"Energy: measured 208 preferred, else Atwater General 957, else Atwater Specific 958"
bell-pepper-red-raw,2258590,foundation,"Peppers, bell, red, raw",carbohydrate,6.653175,g,205,
bell-pepper-red-raw,2258590,foundation,"Peppers, bell, red, raw",copper,39.83,ug,312,FDC mg -> module ug (x1000)
bell-pepper-red-raw,2258590,foundation,"Peppers, bell, red, raw",healthy-fat,0.1256,g,204,FDC total lipid (fat); module names it healthy-fat
bell-pepper-red-raw,2258590,foundation,"Peppers, bell, red, raw",iron,0.3533,mg,303,
bell-pepper-red-raw,2258590,foundation,"Peppers, bell, red, raw",magnesium,10.98,mg,304,
bell-pepper-red-raw,2258590,foundation,"Peppers, bell, red, raw",manganese,0.1328,mg,315,
bell-pepper-red-raw,2258590,foundation,"Peppers, bell, red, raw",potassium,212.7,mg,306,
bell-pepper-red-raw,2258590,foundation,"Peppers, bell, red, raw",protein,0.895625,g,203,
bell-pepper-red-raw,2258590,foundation,"Peppers, bell, red, raw",selenium,0.0,ug,317,
bell-pepper-red-raw,2258590,foundation,"Peppers, bell, red, raw",sodium,0.0,mg,307,
bell-pepper-red-raw,2258590,foundation,"Peppers, bell, red, raw",vitamin-b1,0.05494,mg,404,
bell-pepper-red-raw,2258590,foundation,"Peppers, bell, red, raw",vitamin-b2,0.1422,mg,405,
bell-pepper-red-raw,2258590,foundation,"Peppers, bell, red, raw",vitamin-b3,1.024,mg,406,
bell-pepper-red-raw,2258590,foundation,"Peppers, bell, red, raw",vitamin-b6,0.3027,mg,415,
bell-pepper-red-raw,2258590,foundation,"Peppers, bell, red, raw",vitamin-b7,0.4267,ug,416,
bell-pepper-red-raw,2258590,foundation,"Peppers, bell, red, raw",vitamin-b9,47.32,ug,435;417,"Folate DFE preferred, else folate total"
bell-pepper-red-raw,2258590,foundation,"Peppers, bell, red, raw",vitamin-c,141.7,mg,401,
bell-pepper-red-raw,2258590,foundation,"Peppers, bell, red, raw",zinc,0.2023,mg,309,
black-beans-dry,173734,sr_legacy,"Beans, black, mature seeds, raw",calcium,123.0,mg,301,
black-beans-dry,173734,sr_legacy,"Beans, black, mature seeds, raw",calories,341.0,kcal,208;957;958,"Energy: measured 208 preferred, else Atwater General 957, else Atwater Specific 958"
black-beans-dry,173734,sr_legacy,"Beans, black, mature seeds, raw",carbohydrate,62.36,g,205,
black-beans-dry,173734,sr_legacy,"Beans, black, mature seeds, raw",copper,841.0,ug,312,FDC mg -> module ug (x1000)
black-beans-dry,173734,sr_legacy,"Beans, black, mature seeds, raw",healthy-fat,1.42,g,204,FDC total lipid (fat); module names it healthy-fat
black-beans-dry,173734,sr_legacy,"Beans, black, mature seeds, raw",iron,5.02,mg,303,
black-beans-dry,173734,sr_legacy,"Beans, black, mature seeds, raw",magnesium,171.0,mg,304,
black-beans-dry,173734,sr_legacy,"Beans, black, mature seeds, raw",manganese,1.06,mg,315,
black-beans-dry,173734,sr_legacy,"Beans, black, mature seeds, raw",omega-3,0.0,g,851+629+621+631,derived: ALA+EPA+DHA+DPA sum
black-beans-dry,173734,sr_legacy,"Beans, black, mature seeds, raw",potassium,1483.0,mg,306,
black-beans-dry,173734,sr_legacy,"Beans, black, mature seeds, raw",protein,21.6,g,203,
black-beans-dry,173734,sr_legacy,"Beans, black, mature seeds, raw",selenium,3.2,ug,317,
black-beans-dry,173734,sr_legacy,"Beans, black, mature seeds, raw",sodium,5.0,mg,307,
black-beans-dry,173734,sr_legacy,"Beans, black, mature seeds, raw",sugars-total,2.12,g,269,
black-beans-dry,173734,sr_legacy,"Beans, black, mature seeds, raw",vitamin-a,0.0,ug,320,RAE
black-beans-dry,173734,sr_legacy,"Beans, black, mature seeds, raw",vitamin-b1,0.9,mg,404,
black-beans-dry,173734,sr_legacy,"Beans, black, mature seeds, raw",vitamin-b12,0.0,ug,418,
black-beans-dry,173734,sr_legacy,"Beans, black, mature seeds, raw",vitamin-b2,0.193,mg,405,
black-beans-dry,173734,sr_legacy,"Beans, black, mature seeds, raw",vitamin-b3,1.955,mg,406,
black-beans-dry,173734,sr_legacy,"Beans, black, mature seeds, raw",vitamin-b5,0.899,mg,410,
black-beans-dry,173734,sr_legacy,"Beans, black, mature seeds, raw",vitamin-b6,0.286,mg,415,
