retention_code,food_group_code,retention_description,nutrient_code,nutrient_description,retention_percent,add_mod_date
0001,01,"CHEESE,BAKED",301,"Calcium, Ca",100,09/1975
0001,01,"CHEESE,BAKED",303,"Iron, Fe",100,09/1975
0001,01,"CHEESE,BAKED",304,"Magnesium, Mg",100,09/1975
0001,01,"CHEESE,BAKED",305,"Phosphorus, P",100,09/1975
0001,01,"CHEESE,BAKED",306,"Potassium, K",100,09/1975
0001,01,"CHEESE,BAKED",307,"Sodium, Na",100,09/1975
0001,01,"CHEESE,BAKED",309,"Zinc, Zn",100,09/1975
0001,01,"CHEESE,BAKED",312,"Copper, Cu",100,09/1975
0001,01,"CHEESE,BAKED",401,"Vitamin C, total ascorbic acid",65,09/1975
0001,01,"CHEESE,BAKED",404,Thiamin,75,09/1975
0001,01,"CHEESE,BAKED",405,Riboflavin,100,09/1975
0001,01,"CHEESE,BAKED",406,Niacin,100,09/1975
0001,01,"CHEESE,BAKED",415,Vitamin B-6,75,09/1975
0001,01,"CHEESE,BAKED",417,"Folate, total",80,09/1975
0001,01,"CHEESE,BAKED",431,Folic acid,80,09/1975
0001,01,"CHEESE,BAKED",432,"Folate, food",80,09/1975
0001,01,"CHEESE,BAKED",421,"Choline, total",75,09/1975
0001,01,"CHEESE,BAKED",418,Vitamin B-12,55,09/1975
0001,01,"CHEESE,BAKED",318,"Vitamin A, IU",100,09/1975
0001,01,"CHEESE,BAKED",392,"Vitamin A, RE",100,09/1975
0001,01,"CHEESE,BAKED",221,"Alcohol, ethyl",100,09/1975
0001,01,"CHEESE,BAKED",321,"Carotene, beta",100,09/1975
0001,01,"CHEESE,BAKED",322,"Carotene, alpha",100,09/1975
0001,01,"CHEESE,BAKED",334,"Cryptoxanthin, beta",100,09/1975
0001,01,"CHEESE,BAKED",337,Lycopene,100,09/1975
0001,01,"CHEESE,BAKED",338,Lutein + zeaxanthin,100,09/1975
0003,01,"CHEESE,BROILED",301,"Calcium, Ca",100,09/1975
0003,01,"CHEESE,BROILED",303,"Iron, Fe",100,09/1975
0003,01,"CHEESE,BROILED",304,"Magnesium, Mg",100,09/1975
0003,01,"CHEESE,BROILED",305,"Phosphorus, P",100,09/1975
0003,01,"CHEESE,BROILED",306,"Potassium, K",100,09/1975
0003,01,"CHEESE,BROILED",307,"Sodium, Na",100,09/1975
0003,01,"CHEESE,BROILED",309,"Zinc, Zn",100,09/1975
0003,01,"CHEESE,BROILED",312,"Copper, Cu",100,09/1975
0003,01,"CHEESE,BROILED",401,"Vitamin C, total ascorbic acid",65,09/1975
0003,01,"CHEESE,BROILED",404,Thiamin,75,09/1975
0003,01,"CHEESE,BROILED",405,Riboflavin,100,09/1975
0003,01,"CHEESE,BROILED",406,Niacin,100,09/1975
0003,01,"CHEESE,BROILED",415,Vitamin B-6,75,09/1975
0003,01,"CHEESE,BROILED",417,"Folate, total",80,09/1975
0003,01,"CHEESE,BROILED",431,Folic acid,80,09/1975
0003,01,"CHEESE,BROILED",432,"Folate, food",80,09/1975
0003,01,"CHEESE,BROILED",421,"Choline, total",75,09/1975
0003,01,"CHEESE,BROILED",418,Vitamin B-12,55,09/1975
0003,01,"CHEESE,BROILED",318,"Vitamin A, IU",100,09/1975
0003,01,"CHEESE,BROILED",392,"Vitamin A, RE",100,09/1975
0003,01,"CHEESE,BROILED",221,"Alcohol, ethyl",100,09/1975
0003,01,"CHEESE,BROILED",321,"Carotene, beta",100,09/1975
0003,01,"CHEESE,BROILED",322,"Carotene, alpha",100,09/1975
0003,01,"CHEESE,BROILED",334,"Cryptoxanthin, beta",100,09/1975
0003,01,"CHEESE,BROILED",337,Lycopene,100,09/1975
0003,01,"CHEESE,BROILED",338,Lutein + zeaxanthin,100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",301,"Calcium, Ca",100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",303,"Iron, Fe",100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",304,"Magnesium, Mg",100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",305,"Phosphorus, P",100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",306,"Potassium, K",100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",307,"Sodium, Na",100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",309,"Zinc, Zn",100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",312,"Copper, Cu",100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",401,"Vitamin C, total ascorbic acid",65,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",404,Thiamin,75,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",405,Riboflavin,100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",406,Niacin,100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",415,Vitamin B-6,75,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",417,"Folate, total",80,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",431,Folic acid,80,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",432,"Folate, food",80,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",421,"Choline, total",75,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",418,Vitamin B-12,55,09/1975
