activity_code,met_value,description,category
01003,14.0,"Bicycling, mountain, uphill, vigorous",bicycling
01004,16.0,"Bicycling, mountain, competitive racing",bicycling
01008,8.5,"Bicycling, BMX",bicycling
01009,8.5,"Bicycling, mountain, general",bicycling
01010,4.0,"Bicycling, <10 mph, leisure, to work or for pleasure (Taylor Code 115)",bicycling
01011,6.8,"Bicycling, to/from work, self selected pace",bicycling
01013,5.8,"Bicycling, on dirt or farm road, moderate pace",bicycling
01014,7.0,"Bicycling, general",bicycling
01015,4.3,"Bicycling, self-selected easy pace",bicycling
01016,7.0,"Bicycling, self-selected moderate pace",bicycling
01017,9.0,"Bicycling, self-selected vigorous pace",bicycling
01018,3.5,"Bicycling, leisure 5.5 mph",bicycling
01019,5.8,"Bicycling, leisure, 9.4 mph",bicycling
01020,6.8,"Bicycling, 10-11.9 mph, leisure, slow, light effort",bicycling
01030,8.0,"Bicycling, 12-13.9 mph, leisure, moderate effort",bicycling
01040,10.0,"Bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort",bicycling
01050,12.0,"Bicycling, 16-19 mph, racing/not drafting or >19 mph drafting, very fast, racing general",bicycling
01060,16.8,"Bicycling, >20 mph, racing, not drafting",bicycling
01065,8.5,"Bicycling, 12 mph, seated, hands on brake hoods or bar drops, 80 rpm",bicycling
01066,9.0,"Bicycling, 12 mph, standing, hands on brake hoods, 60 rpm",bicycling
01070,5.0,Unicycling,bicycling
01080,6.8,E-bike (electrically assisted) without electronic support,bicycling
01084,6.0,E-bike (electrically assisted) with light electronic support,bicycling
01088,4.0,E-bike (electrically assisted) with high electronic support,bicycling
01200,6.8,"Bicycling, stationary, general",bicycling
01210,3.5,"Bicycling, stationary, 25-30 watts, very light to light effort",bicycling
01214,4.0,"Bicycling, stationary, 50 watts, light effort",bicycling
01216,5.0,"Bicycling, stationary, 60 watts, light to moderate effort",bicycling
01218,5.8,"Bicycling, stationary, 70-80 watts",bicycling
01220,6.0,"Bicycling, stationary, 90-100 watts,  moderate to vigorous",bicycling
01224,6.8,"Bicycling, stationary, 101-125 watts",bicycling
01228,8.0,"Bicycling, stationary, 126-150 watts",bicycling
01232,10.3,"Bicycling, stationary, 151-199 watts",bicycling
01236,10.8,"Bicycling, stationary, 200-229 watts, vigorous",bicycling
01240,12.5,"Bicycling, stationary, 230-250 watts, very vigorous",bicycling
01244,13.8,"Bicycling, stationary, 270-305 watts, very vigorous",bicycling
01248,16.3,"Bicycling, stationary, >325 watts, very vigorous",bicycling
01252,5.5,"Bicycling, concentric only, 100 W",bicycling
01254,11.0,"Bicycling, concentric only, 200 W",bicycling
01262,2.3,"Bicycling, eccentric only, 100 to 149 W",bicycling
01264,4.0,"Bicycling, eccentric only, 200 W",bicycling
01270,9.0,"Bicycling, stationary, RPM/Spin bike class",bicycling
01290,8.8,"Bicycling, interactive virtual cycling, indoor cycle ergometer",bicycling
01305,8.8,"Bicycling, high intensity interval training",bicycling
02000,7.3,"Aerobic, general",conditioning-exercise
02001,5.5,"Aerobic, step, with 4-inch step",conditioning-exercise
02002,7.3,"Aerobic, step, with 6 – 8 inch step",conditioning-exercise
02003,9.0,"Aerobic, step, with 10 – 12 inch step",conditioning-exercise
02004,7.8,"Bench step class, general",conditioning-exercise
02005,4.8,"Aerobic dance, low impact, moderate effort",conditioning-exercise
02006,8.0,"Aerobic dance, high impact, vigorous effort",conditioning-exercise
02007,10.0,Aerobic dance wearing 10-15 lb weights,conditioning-exercise
02008,5.0,"Army type obstacle course exercise, boot camp training program",conditioning-exercise
02020,7.5,"Calisthenics (e.g., pushups, sit ups, pull-ups, jumping jacks, burpees, battling ropes), vigorous effort",conditioning-exercise
02022,3.8,"Calisthenics (e.g., pushups, sit ups, pull-ups, lunges), moderate effort",conditioning-exercise
02024,2.8,"Calisthenics (e.g., curl ups, abdominal crunches, plank),  light effort",conditioning-exercise
02030,3.5,"Calisthenics, light or moderate effort, general (e.g., back exercises), going up & down from floor (Taylor Code 150)",conditioning-exercise
02032,6.0,"Circuit training, body weight exercises",conditioning-exercise
02034,3.5,"Circuit training, light effort",conditioning-exercise
02035,5.0,"Circuit training, moderate effort",conditioning-exercise
02040,7.5,"Circuit training, including kettlebells, some aerobic movement with minimal rest, general, vigorous intensity",conditioning-exercise
02045,3.5,Curves™ exercise routines in women,conditioning-exercise
02048,5.0,"Elliptical trainer, moderate effort",conditioning-exercise
02049,9.0,"Elliptical trainer, vigorous effort",conditioning-exercise
02050,6.0,"Resistance (weight lifting – free weight, nautilus or universal-type), power lifting or body building, vigorous effort (Taylor Code 210)",conditioning-exercise
02052,5.0,"Resistance (weight) training, squats, deadlift, slow or explosive effort",conditioning-exercise
02054,3.5,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",conditioning-exercise
02055,5.8,"Resistance Training, circuit, reciprocal supersets, peripheral heart action training",conditioning-exercise
02056,3.0,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general",conditioning-exercise
02057,6.5,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), high intensity",conditioning-exercise
02058,9.8,Kettlebell swings,conditioning-exercise
02060,5.5,"Health club exercise, general (Taylor Code 160)",conditioning-exercise
02061,5.0,"Health club exercise classes, general, gym/weight training combined in one visit",conditioning-exercise
02062,7.8,"Health club exercise, conditioning classes",conditioning-exercise
02064,3.8,"Home exercise, general",conditioning-exercise
02065,9.3,"Stair treadmill ergometer, general",conditioning-exercise
02068,11.0,"Rope skipping exercise, general",conditioning-exercise
02069,9.0,"Jumping rope, Digi-Jump Machine, 120 jumps/minute",conditioning-exercise
02070,7.3,"Rowing, stationary ergometer, general, vigorous effort",conditioning-exercise
02071,5.0,"Rowing, stationary ergometer, general, <100 watts,  moderate effort",conditioning-exercise
02072,7.5,"Rowing, stationary, 100 to 149 watts, vigorous effort",conditioning-exercise
02073,11.0,"Rowing, stationary, 150 to 199 watts, vigorous effort",conditioning-exercise
02074,14.0,"Rowing, stationary, ≥ 200 watts, very vigorous effort",conditioning-exercise
02078,11.0,"Shuttle running, forward/backward/lateral",conditioning-exercise
