# sheet: Sheet1
Food Group Code ,NDB,Yield Description,Preparation Method1, Cooking Yield %,n,SD,Yield Minimum %,Yield Maximum %,Moisture Gain/ Loss %,Fat   Gain/ Loss %,Release Year2
13.0,13953.0,"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, all grades","Baked or Roasted, unspecified",84.0,20.0,3.052,77.0,89.0,-22.38,-0.12,2003.0
13.0,13806.0,"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, all grades",Braised,69.0,20.0,3.042,65.0,76.0,-25.01,-10.23,2000.0
13.0,23134.0,"Beef, chuck eye country-style ribs, boneless, separable lean and fat, trimmed to 0"" fat, all grades",Braised,68.3,70.0,5.34,60.7,80.4,-35.38,-2.07,2010.0
13.0,23113.0,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, all grades",Roasted,80.0,35.0,4.64,75.8,93.5,-24.93,-0.36,2010.0
13.0,23140.0,"Beef, chuck eye steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades",Grilled,80.16846845907656,70.0,4.94,61.8,94.9,-25.04,-2.33,2010.0
13.0,13373.0,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, all grades",Braised,71.0,1.0,n/a,n/a,n/a,-36.09,-8.28,2000.0
13.0,23119.0,"Beef, chuck, mock tender steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades",Braised,71.36,61.0,13.44,56.4,99.5,-37.09,1.65,2010.0
13.0,23125.0,"Beef, chuck, short ribs, boneless, separable lean and fat, trimmed to 0"" fat, all grades",Braised,66.07,30.0,11.76,44.9,97.3,-31.27,-4.18,2010.0
13.0,23054.0,"Beef, chuck, shoulder clod, shoulder tender, medallion, separable lean and fat, trimmed to 0"" fat, all grades",Broiled or Grilled,77.0,10.0,2.035,74.01,81.1,-22.2,-0.67,2004.0
13.0,23058.0,"Beef, chuck, shoulder clod, shoulder top and center steaks, separable lean and fat, trimmed to 0"" fat, all grades",Broiled or Grilled,76.0,10.0,4.032,72.75,83.39,-22.88,-0.02,2004.0
13.0,23060.0,"Beef, chuck, shoulder clod, top blade, steak, separable lean and fat, trimmed to 0"" fat, all grades",Broiled or Grilled,76.0,10.0,2.94,70.71,79.9,-23.2,-0.77,2004.0
13.0,23105.0,"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean and fat, trimmed to 0"" fat, all grades",Grilled,71.0,30.0,3.9,65.8,83.1,-26.33,-2.07,2010.0
13.0,23099.0,"Beef, chuck, under blade pot roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades",Braised,64.0,33.0,5.09,60.9,78.2,-34.84,-0.83,2010.0
13.0,23116.0,"Beef, chuck, under blade steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades",Braised,64.96,34.0,4.18,58.1,72.0,-35.38,-2.78,2010.0
13.0,13948.0,"Beef, flank, separable lean and fat, trimmed to 0"" fat, all grades",Broiled or Grilled,81.0,20.0,4.128,74.0,89.0,-22.55,-0.99,2003.0
13.0,13494.0,"Beef, ground, high fat (>22%), crumbles",Pan-fried,62.0,4.0,1.6,60.31,63.89,-24.96,-12.57,2003.0
13.0,13495.0,"Beef, ground, high fat (>22%), loaf","Baked or Roasted, unspecified",63.0,4.0,0.863,61.94,63.89,-22.48,-12.88,2003.0
13.0,13496.0,"Beef, ground, high fat (>22%), patty",Pan-broiled,69.0,4.0,2.102,67.55,72.23,-18.18,-12.39,2003.0
13.0,13497.0,"Beef, ground, high fat (>22%), patty ",Broiled or Grilled,63.0,4.0,2.622,55.33,69.44,-24.15,-11.98,2003.0
13.0,23565.0,"Beef, ground, low fat (<12%), crumbles",Pan-fried,69.0,4.0,1.083,67.08,69.53,-29.56,-1.39,2002.0
13.0,23566.0,"Beef, ground, low fat (<12%), loaf","Baked or Roasted, unspecified",72.0,4.0,2.817,67.59,73.93,-25.93,-1.72,2002.0
13.0,23563.0,"Beef, ground, low fat (<12%), patty",Broiled or Grilled,73.0,4.0,0.856,72.82,74.68,-24.21,-1.55,2002.0
13.0,23564.0,"Beef, ground, low fat (<12%), patty",Pan-broiled,77.0,4.0,0.805,76.37,78.3,-21.25,-1.4,2002.0
13.0,23575.0,"Beef, ground, medium fat (12%-22%), crumbles",Pan-fried,67.0,4.0,3.534,63.7,71.62,-27.83,-5.32,2002.0
13.0,23576.0,"Beef, ground, medium fat (12%-22%), loaf","Baked or Roasted, unspecified",70.0,4.0,4.86,65.08,76.25,-23.97,-5.73,2002.0
13.0,23573.0,"Beef, ground, medium fat (12%-22%), patty",Broiled or Grilled,69.0,4.0,3.879,63.96,72.42,-25.1,-5.17,2002.0
13.0,23574.0,"Beef, ground, medium fat (12%-22%), patty",Pan-broiled,73.0,4.0,2.768,70.78,75.97,-20.82,-6.22,2002.0
13.0,23345.0,"Beef, loin, tenderloin roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades",Roasted,82.0,1.0,n/a,n/a,n/a,-23.51,-0.81,2013.0
13.0,13439.0,"Beef, loin, tenderloin steak, separable lean and fat, trimmed to 0"" fat, all grades",Grilled,79.0,1.0,n/a,n/a,n/a,-29.41,-0.41,2013.0
13.0,13445.0,"Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, all grades",Grilled,82.0,1.0,n/a,n/a,n/a,-37.07,-1.52,2013.0
13.0,23214.0,"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, all grades",Grilled,72.9,72.0,4.5,64.3,84.9,-30.017615838648297,-2.283665893477309,2011.0
13.0,23221.0,"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, all grades",Grilled,68.2,72.0,4.3,58.6,79.3,-29.53427828250184,-4.199153415906319,2011.0
13.0,,"Beef, retail all cuts, all temps",Broiled or Grilled,78.0,458.0,4.392039120284052,68.6032798767554,87.98179327725133,,,2011.0
13.0,,"Beef, retail cuts, all, bone in",Braised,73.0,36.0,8.8,53.0,87.0,,,2011.0
13.0,,"Beef, retail cuts, all, boneless",Braised,67.0,361.0,7.438571428571429,55.74285714285714,84.1712646001911,,,2011.0
13.0,,"Beef, retail cuts, bone in, all temps","Baked or Roasted, unspecified",77.0,35.0,2.8,72.0,84.0,,,2011.0
13.0,,"Beef, retail cuts, boneless, all temps","Baked or Roasted, unspecified",79.0,71.0,6.6,64.0,96.0,,,2011.0
13.0,,"Beef, retail cuts, boneless, short ribs",Braised,66.0,30.0,11.76,44.9,97.3,,,2011.0
13.0,,"Beef, retail cuts, steaks, bone in and boneless",Multiple cooking methods,76.0,553.0,5.19530473477786,66.53904717189079,87.5725029876593,,,2011.0
13.0,23191.0,"Beef, rib eye roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades",Roasted,76.9,35.0,2.8,71.8,83.5,-17.598211268158316,-1.7442197817062441,2011.0
13.0,23198.0,"Beef, rib eye roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades",Roasted,75.8,36.0,3.9,65.7,84.9,-21.827575746450776,-2.6439843465714064,2011.0
13.0,23188.0,"Beef, rib eye steak, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades",Grilled,85.7,36.0,4.0,77.7,90.3,-17.35413807513802,-0.33202294293072154,2011.0
13.0,23227.0,"Beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, all grades",Grilled,82.2,36.0,4.0,75.2,88.6,-20.091466293032205,-2.026412998055545,2011.0
13.0,23197.0,"Beef, rib eye steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades",Grilled,83.6,36.0,3.8,74.6,91.9,-17.799923117765307,-1.128347314063908,2011.0
13.0,23233.0,"Beef, rib, back ribs, bone-in, separable lean and fat, trimmed to 0"" fat, all grades",Braised,75.3,36.0,3.1,65.2,82.2,-19.960111028415202,-7.094955945000639,2011.0
13.0,13851.0,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, all grades",Broiled or Grilled,82.0,20.0,4.258,70.0,85.0,-23.91,-5.19,2000.0
13.0,13421.0,"Beef, round tip round roast, separable lean and fat, trimmed to 0"" fat, all grades","Baked or Roasted, unspecified",85.0,20.0,3.236,76.0,87.0,-24.71,-1.0,2000.0
13.0,13870.0,"Beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades","Baked or Roasted, unspecified",84.0,20.0,2.741,76.0,88.0,-20.64,-2.8,2000.0
13.0,13869.0,"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, all grades",Braised,69.0,20.0,2.137,62.0,70.0,-34.01,-4.44,2000.0
13.0,13878.0,"Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades","Baked or Roasted, unspecified",81.0,20.0,1.987,75.0,83.0,-23.92,-1.17,2000.0
13.0,23062.0,"Beef, round, knuckle, tip center, steak, separable lean and fat, trimmed to 0"" fat, all grades",Broiled or Grilled,76.0,13.0,3.442,70.86,81.0,-22.71,-0.74,2004.0
13.0,23056.0,"Beef, round, knuckle, tip side, steak, separable lean and fat, trimmed to 0"" fat, all grades",Broiled or Grilled,75.0,7.0,2.736,71.42,78.59,-24.09,-0.38,2004.0
13.0,23064.0,"Beef, round, outside round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, all grades",Broiled or Grilled,77.0,10.0,2.262,74.49,81.65,-22.39,-0.03,2004.0
13.0,13893.0,"Beef, round, top round steak, separable lean and fat, trimmed to 1/8"" fat, all grades",Broiled or Grilled,72.0,20.0,5.324,62.0,83.0,-28.42,-1.8,2000.0
13.0,13910.0,"Beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades",Broiled or Grilled,82.0,1.0,n/a,n/a,n/a,-19.7,-2.77,2013.0
13.0,23131.0,"Beef, shoulder pot roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades",Braised,66.28,71.0,6.13,54.6,80.9,-37.26,0.3,2010.0
13.0,23554.0,"Beef, shoulder steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades",Grilled,77.72357723577235,72.0,4.41,69.8,88.9,-28.36,-0.27,2010.0
13.0,13598.0,"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades",Grilled,73.0,34.0,5.65,69.0,89.9,-34.14,-0.4,2010.0
13.0,13918.0,"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades",Broiled or Grilled,80.0,19.0,3.91,71.0,86.0,-21.25,-5.85,2000.0
13.0,13930.0,"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades",Broiled or Grilled,80.0,20.0,4.871,69.0,87.0,-25.16,-2.73,2000.0
13.0,13320.0,"Beef, variety meats and by-products, brain","Poached, Simmered or Stewed",85.0,1.0,n/a,n/a,n/a,-12.76,-1.36,2003.0
13.0,13322.0,"Beef, variety meats and by-products, heart","Poached, Simmered or Stewed",57.0,1.0,n/a,n/a,n/a,-40.0,-1.27,2003.0
13.0,13324.0,"Beef, variety meats and by-products, kidneys","Poached, Simmered or Stewed",53.0,1.0,n/a,n/a,n/a,-42.69,-0.64,2003.0
13.0,13326.0,"Beef, variety meats and by-products, liver",Braised,68.0,1.0,n/a,n/a,n/a,-30.6,-0.04,2003.0
13.0,13327.0,"Beef, variety meats and by-products, liver",Pan-fried or Sauteed ,73.0,1.0,n/a,n/a,n/a,-25.71,-0.23,2003.0
13.0,23640.0,"Beef, variety meats and by-products, tripe","Poached, Simmered or Stewed",70.0,1.0,n/a,n/a,n/a,-27.25,-0.87,2003.0
5.0,5051.0,"Chicken, broiler-fryer, back, full, meat and skin","Baked or Roasted, unspecified",61.0,,n/a,49.0,71.0,,,1975.0
5.0,5052.0,"Chicken, broiler-fryer, back, full, meat and skin","Poached, Simmered or Stewed",67.0,,n/a,58.0,79.0,,,1975.0
5.0,5060.0,"Chicken, broiler-fryer, breast, meat and skin","Baked or Roasted, unspecified",72.0,,n/a,61.0,82.0,,,1975.0
5.0,5061.0,"Chicken, broiler-fryer, breast, meat and skin","Poached, Simmered or Stewed",77.0,,n/a,70.0,88.0,,,1975.0
5.0,5069.0,"Chicken, broiler-fryer, drumstick, meat and skin","Baked or Roasted, unspecified",76.0,,n/a,63.0,87.0,,,1975.0
5.0,5087.0,"Chicken, broiler-fryer, neck, meat and skin","Poached, Simmered or Stewed",70.0,,n/a,62.0,81.0,,,1975.0
5.0,5094.0,"Chicken, broiler-fryer, thigh, meat and skin","Baked or Roasted, unspecified",69.0,,n/a,58.0,79.0,,,1975.0
5.0,5095.0,"Chicken, broiler-fryer, thigh, meat and skin","Poached, Simmered or Stewed",74.0,,n/a,67.0,82.0,,,1975.0
5.0,5004.0,"Chicken, broiler-fryer, whole, including skin","Baked or Roasted, specified time",78.0,,n/a,68.0,84.0,,,1975.0
